CreateTime,Des,Emotions
1646045696,1,消极
1646045766,0,积极
1646045769,0,积极
1646045773,1,积极
1646045780,0,积极
1646046495,1,积极
1646046497,0,中性
1646046502,0,消极
1646046509,0,消极
1646046513,1,积极
1646046521,0,中性
1646046527,0,中性
1646046558,0,中性
1646046560,0,积极
1646046619,1,积极
1646046630,0,积极
1646046631,0,积极
1646061239,0,积极
1646061240,1,积极
1646061249,0,中性
1646061283,0,积极
1646061285,0,积极
1646061339,0,消极
1646061378,1,积极
1646061389,0,积极
1646061460,0,积极
1646061473,1,中性
1646061845,1,积极
1646061852,1,积极
1646061869,0,积极
1646061872,0,积极
1646061874,0,积极
1646061877,0,积极
1646061881,0,积极
1646061891,1,积极
1646062058,1,积极
1646062077,1,积极
1646062078,0,积极
1646062082,0,积极
1646062092,0,积极
1646062100,1,积极
1646062106,0,积极
1646062118,0,积极
1646062187,0,积极
1646062195,0,积极
1646062201,1,积极
1646062208,0,积极
1646064185,1,中性
1646064195,1,中性
1646064199,0,积极
1646064204,0,中性
1646064208,1,中性
1646064214,0,积极
1646064222,1,积极
1646064264,1,积极
1646064268,0,积极
1646064277,1,积极
1646064287,0,积极
1646064291,0,积极
1646064297,0,积极
1646064334,1,积极
1646064432,0,中性
1646064709,1,中性
1646064717,1,中性
1646064721,1,中性
1646064724,1,消极
1646064802,0,中性
1646064810,0,消极
1646064811,1,积极
1646064816,1,中性
1646064818,0,消极
1646064822,1,积极
1646064823,0,中性
1646064846,0,中性
1646064850,0,中性
1646064857,0,积极
1646064869,0,中性
1646064935,1,消极
1646064940,1,消极
1646064973,0,积极
1646064981,0,中性
1646064990,0,中性
1646065009,1,中性
1646065013,1,中性
1646065060,0,积极
1646065064,0,积极
1646065075,0,中性
1646065155,1,积极
1646065166,0,中性
1646065174,0,中性
1646065188,1,积极
1646065870,1,中性
1646065884,0,积极
1646065886,0,中性
1646066446,1,积极
1646066453,0,积极
1646066456,0,积极
1646066459,0,积极
1646066474,0,中性
1646066484,0,中性
1646066489,0,积极
1646066498,0,积极
1646066841,1,积极
1646066852,0,积极
1646066883,1,积极
1646067004,1,消极
1646067015,0,积极
1646067019,0,消极
1646067025,1,积极
1646067028,0,中性
1646067034,1,中性
1646067036,0,消极
1646067039,0,中性
1646067042,0,中性
1646067047,1,中性
1646067050,0,中性
1646067055,0,积极
1646067057,0,积极
1646067063,0,积极
1646067067,0,中性
1646067157,1,积极
1646067174,1,积极
1646067195,0,积极
1646067212,0,中性
1646067219,0,积极
1646067265,1,消极
1646067387,0,积极
1646067392,0,中性
1646067396,0,积极
1646067469,0,消极
1646067490,1,消极
1646067501,1,积极
1646067548,1,中性
1646067587,0,中性
1646067598,0,积极
1646067604,0,中性
1646067607,0,积极
1646067615,0,中性
1646067743,1,消极
1646067781,1,消极
1646067794,0,消极
1646067806,0,积极
1646067812,0,中性
1646067818,1,中性
1646067827,1,积极
1646067895,1,中性
1646067896,0,积极
1646067905,0,消极
1646067909,0,消极
1646067914,1,中性
1646067915,0,中性
1646067918,0,中性
1646067926,0,中性
1646067927,1,中性
1646067936,1,积极
1646067941,0,积极
1646067944,0,积极
1646068004,1,积极
1646068028,0,中性
1646068039,0,中性
1646068042,1,中性
1646068045,0,中性
1646068046,0,积极
1646068048,0,中性
1646068052,1,积极
1646068067,0,中性
1646068069,0,中性
1646068075,0,消极
1646068082,0,消极
1646068165,1,中性
1646068187,1,中性
